month,day,year,day_of_year,date,zone,type_of_site,visit site number,site,Latitude,Longitude,Elevation,Net_open,Net_close,Rain_time,Net_no,Temperature,Wind,Cloud,Bander_ID,Species,Band,Sex,Plumage,Estado reproductivo,Beak_length,Beak_depth,Beak_width,Tarsus,Wing,Mass,Pox_IUR,Pox_scale,Pox_size_lesion,Fecal,Narina,Slide,Swab,Blood,Plasma,Recaptured,Notes,Color band,territory,Hemoglobin,HEMATOCRIT,Exportar_sangre,Exportar_swab,check_number
10,25,2023,298,25-Oct-23,Puerto Ayora,arida,61,Barranco,-0.73862,-90.3017,0,6:35,9:00,0:00,2,,,GARUA,YT,FUL,SMA1751,M,5,CP1,10.3,7.7,5.7,18.2,59,14.37,R,NA,NA,0,B,0,1,1,0,,MENOS 1 DEDO,,,,,,,
10,25,2023,298,25-Oct-23,Puerto Ayora,arida,61,Barranco,-0.73862,-90.3017,0,6:35,9:00,0:00,2,,,GARUA,YT,FUL,SMA1752,M,4,0,9.7,7.6,5.5,17.7,63,13.93,R,NA,NA,0,B,0,1,1,0,,MENOS 2 DEDOS,,,,,,,
10,25,2023,298,25-Oct-23,Puerto Ayora,arida,61,Barranco,-0.73862,-90.3017,0,6:35,9:00,0:00,2,,,GARUA,YT,FUL,SMA1753,U,0,0,9.2,7.3,5,16.8,58,13.16,U,NA,NA,0,B,0,0,0,0,,,,,,,,,
10,25,2023,298,25-Oct-23,Puerto Ayora,arida,61,Barranco,-0.73862,-90.3017,0,6:35,9:00,0:00,2,,,GARUA,YT,FUL,SMA1754,M,4,0,9.5,7.5,4.9,16.5,60,12.67,R,NA,NA,0,B,0,0,0,0,,MENOS 1 DEDO,,,,,,,
10,25,2023,298,25-Oct-23,Puerto Ayora,arida,61,Barranco,-0.73862,-90.3017,0,6:35,9:00,0:00,2,,,GARUA,YT,CRA,SM2436,M,5,0,12.1,12.8,7.6,24.2,83,35.25,U,NA,NA,0,A,0,1,1,0,,,,,,,,,
10,25,2023,298,25-Oct-23,Puerto Ayora,arida,61,Barranco,-0.73862,-90.3017,0,6:35,9:00,0:00,2,,,GARUA,YT,FUL,SMA1755,M,3,0,10.1,7.9,5,16.7,60,13.6,R,NA,NA,0,B,0,0,0,0,,MENOS 1 DEDO,,,,,,,
10,25,2023,298,25-Oct-23,Puerto Ayora,arida,61,Barranco,-0.73862,-90.3017,0,6:35,9:00,0:00,2,,,GARUA,YT,FUL,SMA1756,U,0,0,9.2,6.9,4.8,17.5,60,13.31,I,A,7.1,0,B,0,0,0,0,,MENOS 1 DEDO,,,,,,,
10,25,2023,298,25-Oct-23,Puerto Ayora,arida,61,Barranco,-0.73862,-90.3017,0,6:35,9:00,0:00,2,,,GARUA,YT,FOR,SM2437,U,0,0,13.5,14,9,19.3,75,21.72,U,NA,NA,0,A,0,0,0,0,,,,,,,,,
10,25,2023,298,25-Oct-23,Puerto Ayora,arida,61,Barranco,-0.73862,-90.3017,0,6:35,9:00,0:00,2,,,GARUA,YT,FUL,SMA1757,U,0,0,9,7.7,5,17,57,14.07,U,NA,NA,0,B,0,0,0,0,,,,,,,,,
10,25,2023,298,25-Oct-23,Puerto Ayora,arida,61,Barranco,-0.73862,-90.3017,0,6:35,9:00,0:00,2,,,GARUA,YT,CRA,SM2438,M,5,0,11.6,12,7.6,24.5,80,31.39,U,NA,NA,0,B,0,1,1,0,,EN EL DEDO TIENE UNA PEQUEÑA HERIDO (PARECE POX) SE LE COLOCO ANILLO BLANCO,,,,,,,
